Organization/Person Name,Organization/Person Name URL,Categories,Number of Investors,Number of Funding Rounds,Funding Status,Last Funding Amount ($),Last Funding Type,Total Funding Amount ($),Total Equity Funding Amount ($)
Bionure,https://www.crunchbase.com/organization/bionure,Biotechnology,2,2,Early Stage Venture,"€4,000,000",Series A,"€5,066,712","€5,066,712"
Aromyx,https://www.crunchbase.com/organization/aromyx,"Analytics, Artificial Intelligence, Big Data, Machine Learning",5,6,Seed,,Seed,5808000,5808000
AorTx,https://www.crunchbase.com/organization/aortx,Biotechnology,2,1,M&A,5800000,Venture - Series Unknown,5800000,5800000
Genome Compiler,https://www.crunchbase.com/organization/genome-compiler,"CAD, Collaboration, Health Care, Information Technology and Software",3,2,M&A,5750000,Series A,5750000,5750000
Origen Therapeutics,https://www.crunchbase.com/organization/origen-therapeutics,Genetics,1,2,,3743342,Venture - Series Unknown,5743342,3743342
ReaMetrix,https://www.crunchbase.com/organization/reametrix,Biotechnology,4,2,,2100000,Venture - Series Unknown,5650000,5650000
Endoclear,https://www.crunchbase.com/organization/endoclear,"Hospital, Information Technology and Software",,4,,782786,Venture - Series Unknown,5632786,5132786
NuMedii,https://www.crunchbase.com/organization/numedii,"Medical, Therapeutics",5,2,Early Stage Venture,2000000,Series A,5500000,5500000
Elevian,https://www.crunchbase.com/organization/elevian,Biopharma,2,2,,2900000,Convertible Note,5500000,
Aria Biosystems,https://www.crunchbase.com/organization/aria-biosystems,Innovation Management,4,1,Early Stage Venture,5500000,Series A,5500000,5500000
Tosk,https://www.crunchbase.com/organization/tosk,"Biopharma, Therapeutics",,1,,5449274,Venture - Series Unknown,5449274,5449274
Satoris,https://www.crunchbase.com/organization/satoris,Biotechnology,3,1,Early Stage Venture,5200000,Series B,5200000,5200000
Gemmus Pharma,https://www.crunchbase.com/organization/gemmus-pharma,"Health Care, Pharmaceutical",5,2,Early Stage Venture,3300000,Series B,5100000,5100000
Lightspeed Genomics,https://www.crunchbase.com/organization/lightspeed-genomics,"Genetics, Health Diagnostics",,1,Early Stage Venture,5082474,Series A,5082474,5082474
Exotech Bio,https://www.crunchbase.com/organization/exotech-bio,"Health Care, Pharmaceutical",,1,,5000376,Venture - Series Unknown,5000376,5000376
Potrero Medical,https://www.crunchbase.com/organization/potrero-medical,"Health Care, Medical",1,1,Early Stage Venture,5000000,Series A,5000000,5000000
BioPro Pharmaceutical,https://www.crunchbase.com/organization/biopro-pharmaceutical,Biotechnology,1,1,Early Stage Venture,5000000,Series A,5000000,5000000
Impedance Cardiology Systems,https://www.crunchbase.com/organization/impedance-cardiology-systems,Biotechnology,2,1,Early Stage Venture,5000000,Series B,5000000,5000000
StartX (Stanford-StartX Fund),https://www.crunchbase.com/organization/stanfordstartx-fund,"Artificial Intelligence, Automotive, Big Data, Bioinformatics, Computer Vision, Consumer Software, E-Commerce, Education, Enterprise Software, Hardware, Internet, Internet of Things, Machine Learning, Information Technology and Software, Non Profit",6,3,,3600000,Grant,4800000,400000
Entourage Medical Technologies,https://www.crunchbase.com/organization/entourage-medical-technologies,Biotechnology,2,2,,3251000,Venture - Series Unknown,4751000,4751000
Indee Labs,https://www.crunchbase.com/organization/indee-2,Genetics,9,4,Seed,2585000,Seed,4699341,4005000
BioGenerics,https://www.crunchbase.com/organization/biogenerics,"Medical, Pharmaceutical",,2,,3794959,Debt Financing,4660625,865666
Precise Light Surgical,https://www.crunchbase.com/organization/precise-light-surgical,Biotechnology,3,1,,4500000,Venture - Series Unknown,4500000,4500000
Nano Precision Medical,https://www.crunchbase.com/organization/nano-precision-medical,"Health Care, Therapeutics",,2,,2366583,Venture - Series Unknown,4366583,4366583
Geom Therapeutics,https://www.crunchbase.com/organization/geom-therapeutics,Biotechnology,,1,,4355000,Venture - Series Unknown,4355000,4355000
Relieve Genetics,https://www.crunchbase.com/organization/relieve-genetics,"Health Care, Pharmaceutical",,1,,4333713,Venture - Series Unknown,4333713,4333713
RevMAb Biosciences,https://www.crunchbase.com/organization/revmab-biosciences,"Customer Service, Information Technology and Software",,1,,4300000,Venture - Series Unknown,4300000,4300000
Amarantus BioSciences,https://www.crunchbase.com/organization/amarantus-biosciences,"Health Care, Life Science",,2,,3000000,Venture - Series Unknown,4299327,4299327
QuanDx,https://www.crunchbase.com/organization/quandx,"Health Care, Health Diagnostics",1,3,,3000000,Venture - Series Unknown,4250000,4250000
Niveus Medical,https://www.crunchbase.com/organization/niveus-medical,"Health Care, Information Technology and Software",6,3,,1840538,Venture - Series Unknown,4205538,3840538
B-Bridge International,https://www.crunchbase.com/organization/b-bridge-international,Biotechnology,3,1,,4200000,Venture - Series Unknown,4200000,4200000
Share Practice,https://www.crunchbase.com/organization/share-practice,"Health Care, Medical, Information Technology and Software",12,6,,,Venture - Series Unknown,4125000,4125000
Shield Diagnostics,https://www.crunchbase.com/organization/tl-biolabs,"Genetics, Health Diagnostics",5,1,Seed,4000000,Seed,4000000,4000000
Demetrix,https://www.crunchbase.com/organization/demetrix,Biotechnology,,1,Seed,4000000,Seed,4000000,4000000
Iconix Biosciences,https://www.crunchbase.com/organization/iconix-biosciences,Biotechnology,,1,M&A,4000000,Venture - Series Unknown,4000000,4000000
DiCE Molecules,https://www.crunchbase.com/organization/dice-molecules,"Medical, Information Technology and Software",,1,,3999990,Venture - Series Unknown,3999990,3999990
Consano,https://www.crunchbase.com/organization/consano,Biotechnology,,1,,3900000,Venture - Series Unknown,3900000,3900000
TRELYS,https://www.crunchbase.com/organization/trelys,"Life Science, Pharmaceutical",1,3,,80000,Venture - Series Unknown,3830000,3830000
On Demand Therapeutics,https://www.crunchbase.com/organization/on-demand-therapeutics,"Laser, Therapeutics",1,3,Early Stage Venture,2624369,Series A,3754369,3454369
Eureka Genomics,https://www.crunchbase.com/organization/eureka-genomics,Genetics,,1,Early Stage Venture,3700000,Series A,3700000,3700000
AvidBiotics,https://www.crunchbase.com/organization/avidbiotics,"Life Science, Therapeutics",,3,,854128,Venture - Series Unknown,3694301,3694301
Arcxis Biotechnologies,https://www.crunchbase.com/organization/arcxis-biotechnologies,"Health Diagnostics, Information Technology and Software",3,3,,1440000,Venture - Series Unknown,3690000,3690000
Athelas,https://www.crunchbase.com/organization/athelas,Artificial Intelligence,6,3,Seed,3500000,Seed,3620000,3620000
Tolven Inc.,https://www.crunchbase.com/organization/tolven-inc,"Medical, Information Technology and Software",,1,Early Stage Venture,3614333,Series A,3614333,3614333
Endosee,https://www.crunchbase.com/organization/endosee,Bioinformatics,,3,M&A,1005083,Venture - Series Unknown,3572737,3572737
Wild Type,https://www.crunchbase.com/organization/wild-type,"AgTech, Food and Beverage",3,1,Seed,3500000,Seed,3500000,3500000
OncoHealth,https://www.crunchbase.com/organization/oncohealth,Biotechnology,6,3,Seed,600000,Seed,3450000,3450000
Chai,https://www.crunchbase.com/organization/chai,"Health Diagnostics, Life Science, Information Technology and Software",12,2,Seed,2000000,Seed,3400000,3400000
ISOThrive,https://www.crunchbase.com/organization/isothrive,"Animal Feed, Dietary Supplements, Nutrition, Personal Health, Wellness",2,2,Seed,2000000,Seed,3400000,3400000
TurnCare,https://www.crunchbase.com/organization/turncare,Therapeutics,1,1,Early Stage Venture,3300000,Series A,3300000,3300000
Darmiyan,https://www.crunchbase.com/organization/darmiyan,"Health Care, Health Diagnostics, Medical",14,4,Seed,3080000,Seed,3200000,3200000
BioInspire Technologies,https://www.crunchbase.com/organization/bioinspire-technologies,"Health Care, Information Technology and Software",,1,Seed,3124082,Seed,3124082,3124082
NGX Bio,https://www.crunchbase.com/organization/ngx-bio,Biotechnology,5,1,,3000000,Venture - Series Unknown,3000000,3000000
Kosan Biosciences,https://www.crunchbase.com/organization/kosan-biosciences,Biotechnology,1,1,M&A,3000000,Venture - Series Unknown,3000000,3000000
Cerimon Pharmaceuticals,https://www.crunchbase.com/organization/cerimon-pharmaceuticals,"Pharmaceutical, Therapeutics",,3,Early Stage Venture,232957,Series A,2732960,2732960
BillionToOne,https://www.crunchbase.com/organization/billiontoone,"Genetics, Health Care, Medical",4,2,Seed,2400000,Seed,2520000,2520000
Geltor,https://www.crunchbase.com/organization/geltor,Advanced Materials,7,2,Seed,2250000,Seed,2500000,2500000
Octave Bioscience,https://www.crunchbase.com/organization/octave-bioscience,Biotechnology,,1,Seed,2500000,Seed,2500000,2500000
"AbboMax, Inc",https://www.crunchbase.com/organization/abbomax-inc-2,Customer Service,1,2,Private Equity,1500000,Private Equity,2500000,2500000
Nanoplex Technologies,https://www.crunchbase.com/organization/nanoplex-technologies,"Life Science, Nanotechnology",1,1,M&A,2500000,Series B,2500000,2500000
MedPlexus,https://www.crunchbase.com/organization/medplexus,EHR,,1,,2486458,Venture - Series Unknown,2486458,2486458
CaseReader,https://www.crunchbase.com/organization/casereader,"Life Science, Medical",,1,,2385262,Venture - Series Unknown,2385262,2385262
Delpor,https://www.crunchbase.com/organization/delpor,"Biopharma, Commercial",1,3,Early Stage Venture,1000000,Series A,2370492,1900492
Potbotics,https://www.crunchbase.com/organization/potbotics,"Artificial Intelligence, Medical",,1,,2355200,Debt Financing,2355200,
Apostle Inc,https://www.crunchbase.com/organization/apostle-inc,Biotechnology,4,1,Seed,2350000,Seed,2350000,2350000
X-ZELL,https://www.crunchbase.com/organization/x-zell,"Health Care, Health Diagnostics, Medical, Information Technology and Software",9,4,Seed,750000,Seed,2330000,2330000
NextGen Jane,https://www.crunchbase.com/organization/nextgen-jane,"Health Care, Medical",1,2,,2217234,Venture - Series Unknown,2317234,2217234
Biome Makers,https://www.crunchbase.com/organization/biome-makers,"Agriculture, Bioinformatics, Genetics, Machine Learning, Wine And Spirits",3,2,Seed,2200000,Seed,2300000,2200000
Proxim Diagnostics,https://www.crunchbase.com/organization/proxim-diagnostics,"Health Diagnostics, Information Technology and Software",,1,,2270182,Venture - Series Unknown,2270182,2270182
20n,https://www.crunchbase.com/organization/20n,Biotechnology,5,2,Seed,2100000,Seed,2220000,2220000
Theron Pharmaceuticals,https://www.crunchbase.com/organization/theron-pharmaceuticals,"Information Technology and Software, Therapeutics",,4,,409099,Venture - Series Unknown,2209319,2029319
Acumen Pharmaceuticals,https://www.crunchbase.com/organization/acumen-pharmaceuticals,Health Diagnostics,1,2,Seed,700000,Seed,2200000,2200000
Rodo Medical,https://www.crunchbase.com/organization/rodo-medical,"Health Care, Information Technology and Software",,2,,570020,Debt Financing,2190451,1620431
Bullet Biotechnology,https://www.crunchbase.com/organization/bullet-biotechnology,Medical,,3,Early Stage Venture,343995,Debt Financing,2179027,1135198
TwoF,https://www.crunchbase.com/organization/twof,"Medical, Information Technology and Software",,1,Early Stage Venture,2148399,Series A,2148399,2148399
AutekBio,https://www.crunchbase.com/organization/autekbio,Medical,1,2,Early Stage Venture,1000000,Series B,2100000,2100000
Boost Biomes,https://www.crunchbase.com/organization/boost-biomes,Biotechnology,3,1,Seed,2050000,Seed,2050000,2050000
Handa Pharmaceuticals,https://www.crunchbase.com/organization/handa-pharmaceuticals,"Health Diagnostics, Pharmaceutical",,1,,2042917,Venture - Series Unknown,2042917,2042917
Nanofactory,https://www.crunchbase.com/organization/nanofactory,Biotechnology,,1,,2030580,Venture - Series Unknown,2030580,2030580
AltraVax,https://www.crunchbase.com/organization/altravax,"Biopharma, Pharmaceutical",,2,Early Stage Venture,2000000,Series A,2007250,2007250
PicnicHealth,https://www.crunchbase.com/organization/picnichealth,"Artificial Intelligence, Big Data, Data Visualization, Health Care, Machine Learning, Medical, Pharmaceutical, SaaS, Information Technology and Software",18,2,Seed,2000000,Seed,2000000,2000000
Full Cycle Bioplastics,https://www.crunchbase.com/organization/full-cycle-bioplastics,"Advanced Materials, CleanTech, Organic, Waste Management",1,2,Seed,,Seed,2000000,2000000
Carmenta Bioscience,https://www.crunchbase.com/organization/carmenta-bioscience,Biotechnology,3,1,Seed,2000000,Seed,2000000,2000000
Prosetta Biosciences,https://www.crunchbase.com/organization/prosetta-biosciences,"Health Care, Medical",,1,Early Stage Venture,2000000,Series A,2000000,2000000
BioNex Solutions,https://www.crunchbase.com/organization/bionex-solutions,"Biopharma, Health Care",,2,Seed,960000,Seed,1964996,1964996
Microsonic Systems,https://www.crunchbase.com/organization/microsonic-systems,"Medical, Pharmaceutical",,2,,1259000,Venture - Series Unknown,1924006,1924006
Prellis Biologics,https://www.crunchbase.com/organization/prellis-biologics,"Health Care, Medical",8,4,Seed,,Seed,1920000,1920000
Qardio,https://www.crunchbase.com/organization/qardio,"Artificial Intelligence, Big Data, Consumer Electronics, Health Care, Machine Learning, Medical, Information Technology and Software, SaaS",,6,,,Venture - Series Unknown,1873000,948000
Zephyrus Biosciences,https://www.crunchbase.com/organization/zephyrus-biosciences,"Hardware, Health Care",10,3,M&A,1500000,Seed,1860000,1500000
SomaGenics,https://www.crunchbase.com/organization/somagenics,Biotechnology,1,1,,1800000,Grant,1800000,
K-PAX Pharmaceuticals,https://www.crunchbase.com/organization/k-pax-pharmaceuticals,Biotechnology,,2,,1460000,Venture - Series Unknown,1760000,1460000
Bikanta,https://www.crunchbase.com/organization/bikanta,"Health Diagnostics, Nanotechnology",4,1,Seed,1700000,Seed,1700000,1700000
Koniku,https://www.crunchbase.com/organization/koniku,"Life Science, Neuroscience",3,2,,1400980,Venture - Series Unknown,1650980,1650980
Kura Technologies ,https://www.crunchbase.com/organization/aurora-tech-inc,"Artificial Intelligence, Augmented Reality, Electronics, Hardware, Manufacturing, Optical Communication, Semiconductor, Information Technology and Software",9,1,Seed,1500000,Seed,1500000,1500000
Adheron Therapeutics,https://www.crunchbase.com/organization/adheron-therapeutics,"Pharmaceutical, Therapeutics",,1,M&A,1500000,Convertible Note,1500000,
MIODx,https://www.crunchbase.com/organization/miodx,"Health Care, Information Technology and Software",,1,Seed,1500000,Seed,1500000,1500000
Isentio,https://www.crunchbase.com/organization/isentio,Biotechnology,1,1,,1500000,Venture - Series Unknown,1500000,1500000
Endovention,https://www.crunchbase.com/organization/endovention,Biotechnology,1,1,Seed,1500000,Angel,1500000,1500000
Ampere Life Sciences,https://www.crunchbase.com/organization/ampere-life-sciences,"Information Technology and Software, Information Technology and Software",,1,,1367143,Venture - Series Unknown,1367143,1367143
Palingen,https://www.crunchbase.com/organization/palingen,"Medical, Therapeutics",,1,,1302789,Venture - Series Unknown,1302789,1302789
Offsite Care Resources,https://www.crunchbase.com/organization/offsite-care-resources,"Electronics, Health Care",,1,,1258507,Venture - Series Unknown,1258507,1258507
Synthomics,https://www.crunchbase.com/organization/synthomics,"Genetics, Life Science",1,2,,,Venture - Series Unknown,1140000,
Nvigen,https://www.crunchbase.com/organization/nvigen,"Clinical Trials, Nanotechnology",3,3,Early Stage Venture,1116749,Series B,1116749,1116749
Aneumed,https://www.crunchbase.com/organization/aneumed,"Health Care, Medical",,1,,1110000,Venture - Series Unknown,1110000,1110000
Multispan,https://www.crunchbase.com/organization/multispan,Biotechnology,1,2,Early Stage Venture,600000,Series B,1100000,1100000
Ciel Medical,https://www.crunchbase.com/organization/ciel-medical,"Information Technology and Software, Pharmaceutical",1,2,M&A,324999,Series A,1057557,1057557
Invenio Imaging,https://www.crunchbase.com/organization/invenio-imaging,Bioinformatics,,1,,1000004,Venture - Series Unknown,1000004,1000004
Correlia Biosystems,https://www.crunchbase.com/organization/correlia-biosystems,"Health Care, Health Diagnostics, Life Science",2,5,Seed,120000,Seed,995000,120000
Tensegrity Technologies,https://www.crunchbase.com/organization/tensegrity-technologies,"Fitness, Health Care",,1,,981990,Debt Financing,981990,
Cyto Wave Technologies,https://www.crunchbase.com/organization/cyto-wave-technologies,"Health Care, Pharmaceutical",,1,,965000,Venture - Series Unknown,965000,965000
Glycosan,https://www.crunchbase.com/organization/glycosan,"Health Diagnostics, Therapeutics",,2,M&A,625000,Venture - Series Unknown,950000,950000
BIO-NEMS,https://www.crunchbase.com/organization/bio-nems,Analytics,1,2,,200000,Debt Financing,925000,
TAXA Biotechnologies,https://www.crunchbase.com/organization/glowing-plant,"Genetics, Life Science",3,2,Seed,425000,Seed,909000,425000
Scaled Biolabs,https://www.crunchbase.com/organization/scaled-biolabs,Analytics,3,4,Seed,,Seed,907528,100000
SynAgile,https://www.crunchbase.com/organization/synagile,"Health Care, Health Diagnostics",,1,,898618,Venture - Series Unknown,898618,898618
"Syntekabio, Inc.",https://www.crunchbase.com/organization/syntekabio-inc,"Medical, Service Industry",1,1,,877000,Venture - Series Unknown,877000,877000
Intabio ,https://www.crunchbase.com/organization/intabio,Biotechnology,,1,,851993,Venture - Series Unknown,851993,851993
Ligandal,https://www.crunchbase.com/organization/ligandal-technology,"Genetics, Nanotechnology",19,5,Seed,,Seed,844000,780000
Octamer,https://www.crunchbase.com/organization/octamer,Genetics,,1,,820800,Venture - Series Unknown,820800,820800
Bioxiness Pharmaceuticals,https://www.crunchbase.com/organization/bioxiness-pharmaceuticals,"Health Care, Pharmaceutical",1,2,,502000,Convertible Note,804568,
BioCellection,https://www.crunchbase.com/organization/biocellection,"Recycling, Textiles, Waste Management",8,3,Seed,150000,Grant,800000,650000
Mekonos Inc.,https://www.crunchbase.com/organization/mekonos-2,"Nanotechnology, Robotics, Semiconductor",8,7,,,Non-equity Assistance,800000,
Solus Biosystems,https://www.crunchbase.com/organization/solus-biosystems,Biotechnology,,1,,800000,Venture - Series Unknown,800000,800000
Planet Biotechnology,https://www.crunchbase.com/organization/planet-biotechnology,"Medical, Therapeutics",,2,,411000,Debt Financing,761000,
HAVAH Therapeutics,https://www.crunchbase.com/organization/havah-therapeutics-inc,Pharmaceutical,,1,Seed,"A$1,000,000",Seed,"A$1,000,000","A$1,000,000"
Cureseq,https://www.crunchbase.com/organization/cureseq,"Bioinformatics, Genetics",2,2,,,Venture - Series Unknown,700000,700000
OneSkin Technology,https://www.crunchbase.com/organization/oneskin,"Cosmetics, Test and Measurement",2,2,Seed,626594,Seed,626594,626594
LifeWave,https://www.crunchbase.com/organization/lifewave,"Information Technology, Medical",,1,,618178,Venture - Series Unknown,618178,618178
Nivien Therapeutics,https://www.crunchbase.com/organization/nivien-therapeutics,"Health Care, Pharmaceutical",3,1,Seed,600000,Seed,600000,600000
EaglEyeMed,https://www.crunchbase.com/organization/eagleyemed,"Delivery, Health Care",,1,,600000,Venture - Series Unknown,600000,600000
"Alavita Pharmaceuticals, Inc",https://www.crunchbase.com/organization/alavita-pharmaceuticals-inc,"Health Care, Therapeutics",,1,,600000,Venture - Series Unknown,600000,600000
Bionovo,https://www.crunchbase.com/organization/bionovo,"Health Care, Women's",,1,,600000,Venture - Series Unknown,600000,600000
VivaRay,https://www.crunchbase.com/organization/vivaray,"Information Technology and Software, Information Technology and Software",,1,,600000,Debt Financing,600000,
OmegaGenesis,https://www.crunchbase.com/organization/omegagenesis,"Information Technology and Software, Therapeutics",,1,,554508,Venture - Series Unknown,554508,554508
Feel,https://www.crunchbase.com/organization/sentio-solutions-inc,"Health Care, Health Diagnostics, Health Insurance, Information Technology and Software, Psychology",4,8,Seed,,Convertible Note,550000,550000
Novome Biotechnologies,https://www.crunchbase.com/organization/novome-biotechnologies,Biotechnology,,1,Seed,535623,Seed,535623,535623
CardioGen Sciences,https://www.crunchbase.com/organization/cardiogen-sciences,"Genetics, Medical",1,1,M&A,526000,Seed,526000,526000
Prime Genomics,https://www.crunchbase.com/organization/prime-genomics,Genetics,1,3,Seed,324685,Debt Financing,516685,192000
Tenon Medical,https://www.crunchbase.com/organization/tenon-medical,"Health Care, Medical",,1,Seed,500000,Seed,500000,500000
GEA Enzymes,https://www.crunchbase.com/organization/gea-enzymes,"Food and Beverage, Food Processing",4,6,Seed,,Seed,500000,250000
New Battery,https://www.crunchbase.com/organization/new-battery,Biotechnology,1,1,Seed,500000,Seed,500000,500000
Renavance Pharma,https://www.crunchbase.com/organization/renavance-pharma,"Medical, Pharmaceutical",,1,,500000,Debt Financing,500000,
Neuropure,https://www.crunchbase.com/organization/neuropure,Biotechnology,1,1,Early Stage Venture,500000,Series A,500000,500000
BeeFlow,https://www.crunchbase.com/organization/beeflow,"Agriculture, Natural Resources, Sustainability",3,2,Seed,250000,Seed,450000,450000
Accelalox,https://www.crunchbase.com/organization/accelalox,"Medical, Pharmaceutical",,1,,430000,Debt Financing,430000,
Bioabsorbable Therapeutics,https://www.crunchbase.com/organization/bioabsorbable-therapeutics,"Health Diagnostics, Information Technology and Software",,1,,359705,Debt Financing,359705,
Zymochem,https://www.crunchbase.com/organization/zymochem,"Chemical, Industrial",3,2,Seed,350000,Seed,350000,350000
HUMM Corp,https://www.crunchbase.com/organization/humm-technologies-pty-ltd,"Artificial Intelligence, eSports, Human Computer Interaction, Machine Learning, Neuroscience, Wearables",5,6,Seed,"A$40,000",Grant,330483,"A$200,000"
Single Cell Technology,https://www.crunchbase.com/organization/single-cell-technology,"Analytics, Health Care",,1,,323777,Debt Financing,323777,
Healthonomy,https://www.crunchbase.com/organization/healthonomy,"Information Technology, Medical",,1,,322500,Venture - Series Unknown,322500,322500
ProZyme,https://www.crunchbase.com/organization/prozyme,"Health Diagnostics, Manufacturing",,1,,321414,Debt Financing,321414,
Cell Genesys,https://www.crunchbase.com/organization/cell-genesys,"Health Care, Medical",,1,,310000,Venture - Series Unknown,310000,310000
Vascular Designs,https://www.crunchbase.com/organization/vascular-designs,"Health Care, Information Technology and Software",,1,,294481,Venture - Series Unknown,294481,294481
JJ PHARMA,https://www.crunchbase.com/organization/jj-pharma,"Health Care, Medical",,1,,255002,Venture - Series Unknown,255002,255002
New Wave Foods,https://www.crunchbase.com/organization/new-wave-foods,Advanced Materials,5,4,Seed,,Seed,250000,250000
Antibiotic Adjuvant,https://www.crunchbase.com/organization/antibiotic-adjuvant,"Health Care, Information Technology, Machine Learning, Medical",1,1,,250000,Convertible Note,250000,
Sonogenix,https://www.crunchbase.com/organization/sonogenix,"Medical, Therapeutics",1,2,Seed,,Grant,250000,250000
G2B Pharma,https://www.crunchbase.com/organization/g2b-pharma,"Medical, Pharmaceutical",,1,Seed,235000,Seed,235000,235000
Arcturus BioCloud,https://www.crunchbase.com/organization/arcturus-biocloud,"Genetics, Medical",4,4,Seed,100000,Convertible Note,227000,102000
Artielle ImmunoTherapeutics,https://www.crunchbase.com/organization/artielle-immunotherapeutics,"Biopharma, Therapeutics",4,2,Early Stage Venture,185740,Convertible Note,185740,
Lypro Biosciences,https://www.crunchbase.com/organization/lypro-biosciences,"Biopharma, Pharmaceutical",,1,M&A,177950,Venture - Series Unknown,177950,177950
Therabiol,https://www.crunchbase.com/organization/therabiol,"Health Care, Therapeutics",,1,Seed,150000,Seed,150000,150000
Qualio,https://www.crunchbase.com/organization/qualio,"Cloud Computing, Internet, Life Science, Information Technology and Software, Pharmaceutical, Information Technology and Software",3,3,,,Venture - Series Unknown,125000,125000
Culture Robotics,https://www.crunchbase.com/organization/culture-robotics,"Industrial Automation, Robotics",1,1,Seed,120000,Seed,120000,120000
Loop Genomics,https://www.crunchbase.com/organization/loop-genomics,"Genetics, Information Technology, Medical",3,2,,,Venture - Series Unknown,120000,120000
ZBiotics,https://www.crunchbase.com/organization/zbiotics,Nutraceutical,1,1,Seed,120000,Seed,120000,120000
iMicrobes,https://www.crunchbase.com/organization/industrial-microbes,Chemical,10,2,Seed,,Seed,120000,120000
Rev Genomics,https://www.crunchbase.com/organization/rev-genomics,"Agriculture, Big Data",1,1,Seed,120000,Seed,120000,120000
Tradewind BioScience,https://www.crunchbase.com/organization/tradewind-bioscience,"Health Care, Medical",1,1,Seed,120000,Seed,120000,120000
Orthohub,https://www.crunchbase.com/organization/orthohub,"Information Technology and Software, Enterprise Software",,1,,109000,Venture - Series Unknown,109000,109000
"Encoded Genomics, Inc.",https://www.crunchbase.com/organization/encoded-genomics,Genetics,1,1,,100000,Convertible Note,100000,
Nextbiotics,https://www.crunchbase.com/organization/nextbiotics,Biotechnology,1,1,Seed,100000,Seed,100000,100000
IntelliGeneScan,https://www.crunchbase.com/organization/intelligenescan,"Genetics, Health Diagnostics",,1,,100000,Venture - Series Unknown,100000,100000
Specialized Vascular Technologies,https://www.crunchbase.com/organization/specialized-vascular-technologies,"Medical, Information Technology and Software",,1,,90249,Venture - Series Unknown,90249,90249
Particle,https://www.crunchbase.com/organization/particle-4,"Commercial, Life Science",1,1,Seed,75000,Angel,75000,75000
The ODIN,https://www.crunchbase.com/organization/the-odin,Biotechnology,,1,,71036,Product Crowdfunding,71036,
Visolis Bio,https://www.crunchbase.com/organization/visolis-bio,"Environmental Engineering, Renewable Energy",3,2,,,Convertible Note,"€50,000",
Pembient,https://www.crunchbase.com/organization/pembient,"3D Printing, GreenTech",2,1,Seed,50000,Seed,50000,50000
Extem,https://www.crunchbase.com/organization/extem,Biotechnology,2,2,,,Venture - Series Unknown,50000,50000
TeraFold Biologics Inc.,https://www.crunchbase.com/organization/terafold-biologics-inc,Biotechnology,1,1,Seed,40000,Seed,40000,40000
EvolveMol,https://www.crunchbase.com/organization/evolvemol,Biotechnology,1,1,Seed,40000,Seed,40000,40000
Spinal Integration,https://www.crunchbase.com/organization/spinal-integration,"Health Care, Information Technology and Software",,1,,40000,Venture - Series Unknown,40000,40000
ZENT,https://www.crunchbase.com/organization/zent,"Medical, Information Technology and Software",,1,,25000,Venture - Series Unknown,25000,25000
iClinical Inc,https://www.crunchbase.com/organization/iclinical,"Clinical Trials, Enterprise Software, Pharmaceutical",1,1,,20000,Grant,20000,
PrognosDx Health,https://www.crunchbase.com/organization/prognosdx-health,"Health Care, Information Technology and Software",,1,,10000,Debt Financing,10000,
Alphabet,https://www.crunchbase.com/organization/alphabet,"Blogging Platforms, Email, Information Technology, Search Engine, Information Technology and Software, Video Streaming",,,,,,,
Venrock,https://www.crunchbase.com/organization/venrock,"Advertising, FinTech, Hardware, Health Care, Information Technology and Software, Information Technology and Software, Pharmaceutical, Security",,,,,,,
New Enterprise Associates ,https://www.crunchbase.com/organization/new-enterprise-associates,"Consumer, Energy, Health Care, Information Technology and Software, Pharmaceutical, SaaS",,,,,,,
Lightstone Ventures,https://www.crunchbase.com/organization/lightstone-ventures,"Health Care, Information Technology and Software, Pharmaceutical",,,,,,,
Mammoth Biosciences,https://www.crunchbase.com/organization/mammoth-biosciences,"Bioinformatics, Genetics, Health Diagnostics, Life Science",,,,,,,
Brookside Capital,https://www.crunchbase.com/organization/brookside-capital,"Angel Investment, Photography",,,,,,,
Nex Cubed,https://www.crunchbase.com/organization/nex-cubed,"Aerospace, Artificial Intelligence, Big Data, Consulting, Cyber Security, Drones, E-Commerce, Enterprise Software, FinTech, Health Care, Incubators, Information Technology, Internet of Things, Life Science, Machine Learning, Medical, Information Technology and Software, Natural Language Processing, Network Security, Online Games, Pharmaceutical, Predictive Analytics, Real Time, Retail Technology, Risk Management, Robotics, SaaS, Security, Information Technology and Software, Telecommunications, Virtual Reality, Wearables, Web Apps",,,,,,,
Bay City Capital,https://www.crunchbase.com/organization/bay-city-capital,Biotechnology,,,,,,,
Calico,https://www.crunchbase.com/organization/calico,"Genetics, Health Care",,,,,,,
Terramino Foods,https://www.crunchbase.com/organization/terramino-foods,"Food and Beverage, Medical",2,1,Seed,,Seed,,
Alkahest ,https://www.crunchbase.com/organization/alkahest,Biotechnology,1,1,,,Grant,,
Insitro,https://www.crunchbase.com/organization/insitro,"Life Science, Machine Learning, Pharmaceutical",,,,,,,
Whole Biome,https://www.crunchbase.com/organization/whole-biome,Health Diagnostics,,,,,,,
Q Bio,https://www.crunchbase.com/organization/q-4,Biotechnology,,,,,,,
NeuroSky,https://www.crunchbase.com/organization/neurosky,Biotechnology,2,2,,,Venture - Series Unknown,,
Acerta Pharma,https://www.crunchbase.com/organization/acerta-pharma,Biotechnology,3,2,M&A,,Series A,,
